S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
132,SBI Cards,865.05,42.97,82313.61,0.29,444.77,9.98,4960.98,12.21,10.40
133,One 97,1265.50,745.80,80933.67,0.00,21.00,149.74,2061.00,24.23,-10.14
134,Bajaj Housing,96.15,33.96,80115.40,0.00,642.96,17.84,2754.85,14.30,9.55
135,JSW Energy,451.95,39.11,78990.28,0.43,824.27,-17.41,5177.42,59.91,6.49
136,NHPC Ltd,76.83,24.34,77176.01,2.47,1219.28,13.49,3365.26,10.27,7.42
137,NTPC Green Ene.,90.87,126.14,76570.06,0.00,86.38,130.26,612.29,21.52,4.89
138,L&T Finance Ltd,304.25,28.25,76142.34,0.89,734.88,5.64,4335.75,7.87,8.71
139,GE Vernova T&D,2927.80,81.48,74966.29,0.17,299.48,107.08,1538.46,38.88,54.74
140,Dixon Technolog.,12331.65,57.80,74777.59,0.06,745.70,184.68,14855.04,28.79,39.95
141,AU Small Finance,993.40,34.13,74173.23,0.10,560.87,-1.81,4511.28,15.36,8.40
142,I O B,36.72,16.67,70710.21,0.00,1226.42,57.81,7848.79,14.57,5.95
143,FSN E-Commerce,246.70,673.97,70612.07,0.00,32.98,249.10,2345.98,25.14,9.59
144,Uno Minda,1220.90,64.38,70442.30,0.18,322.79,27.14,4814.03,13.41,18.83
145,Lenskart Solut.,405.50,266.97,70348.93,0.00,103.45,19.60,2096.15,20.77,5.57
146,Suzlon Energy,51.56,22.11,70132.38,0.00,1279.44,539.08,3870.78,84.03,32.52
147,Prestige Estates,1616.85,90.94,69642.62,0.11,457.40,123.88,2431.70,5.52,7.66
148,IDFC First Bank,80.37,48.09,69072.59,0.31,347.80,64.10,9936.93,10.94,6.22
149,Oracle Fin.Serv.,7872.50,28.84,68499.63,3.27,546.10,-5.47,1788.80,6.86,40.60
150,Yes Bank,21.74,24.08,68214.81,0.00,664.31,17.25,7388.75,-4.50,6.36
151,Aurobindo Pharma,1172.40,19.95,68093.16,0.34,848.13,3.80,8285.70,6.28,14.18
152,Lloyds Metals,1281.00,37.49,67701.13,0.08,567.39,89.95,3651.35,154.33,38.28
153,Coromandel Inter,2273.95,31.58,67080.51,0.51,793.44,21.28,9654.13,29.88,23.20
154,Alkem Lab,5601.55,28.48,66974.95,0.79,779.11,11.10,4000.99,17.17,20.38
155,General Insuranc,380.75,6.97,66798.75,2.60,2873.54,54.85,12755.45,3.05,13.32
156,Bharat Forge,1382.60,61.14,66100.56,0.61,299.28,22.83,4031.93,9.31,12.18
157,NMDC,74.52,9.39,65516.59,4.46,1698.04,40.22,6378.11,29.67,29.59
158,IndusInd Bank,835.25,,65072.27,0.00,-436.88,-132.82,11608.63,-8.49,6.47
159,Oil India,400.00,10.88,65064.32,2.86,1643.81,-29.13,8394.11,15.83,12.89
160,Adani Total Gas,590.25,103.71,64916.30,0.04,163.49,-11.91,1451.26,19.09,17.47
161,Jindal Stain.,784.95,23.41,64712.85,0.39,807.92,29.87,10892.78,11.41,18.16
162,MRF,152100.00,34.82,64507.78,0.15,525.64,11.67,7378.72,7.23,13.62
163,Rail Vikas,309.30,56.84,64489.67,0.55,230.52,-19.73,5122.97,5.52,14.72
164,Fortis Health.,852.70,63.91,64375.34,0.12,328.82,40.23,2331.44,17.25,11.96
165,Berger Paints,549.45,57.97,64060.02,0.69,206.38,-23.50,2827.49,1.91,24.90
166,Federal Bank,259.80,16.18,63956.51,0.46,1022.64,-9.52,7216.18,3.00,7.03
167,Torrent Power,1265.95,21.31,63791.68,1.50,741.55,50.45,7876.00,9.76,15.95
168,Bank of India,138.15,6.24,62895.13,2.94,2575.58,6.42,18521.48,6.04,6.17
169,HDB FINANC SER,752.95,29.07,62483.37,0.27,581.40,-1.62,4545.40,13.44,9.79
170,Phoenix Mills,1744.80,58.31,62393.75,0.14,384.09,39.38,1115.43,21.51,10.75
171,UPL,739.05,26.25,62325.47,0.81,612.00,209.91,12019.00,8.38,7.66
172,Vishal Mega Mart,130.90,83.13,61169.58,0.00,152.31,46.47,2981.49,22.38,13.10
173,Coforge,1822.70,53.68,61041.60,0.81,425.40,75.93,3985.70,31.73,20.34
174,Godrej Propert.,2014.65,39.15,60682.53,0.00,402.99,20.84,740.38,-32.28,6.57
175,Schaeffler India,3862.75,54.03,60376.16,0.72,306.65,24.08,2360.14,13.86,25.67
176,Abbott India,28089.70,39.61,59690.65,1.70,415.27,15.80,1757.15,7.62,46.25
177,Oberoi Realty,1624.25,26.46,59058.11,0.49,760.26,28.98,1779.04,34.79,17.73
178,Max Financial,1700.15,359.25,58674.65,0.00,5.87,-96.33,9791.59,-26.77,8.13
179,Colgate-Palmoliv,2144.10,44.06,58316.44,2.35,327.51,-17.10,1519.50,-6.15,105.34
180,Patanjali Foods,528.65,40.34,57508.05,0.62,516.70,67.23,9798.84,20.95,15.55
181,JSW Infrast,266.80,35.31,56028.04,0.30,368.81,-2.76,1265.59,26.39,13.92
182,Knowledge Realty,125.50,175.00,55651.75,1.22,1116.07,,,13.17
183,Glenmark Pharma.,1953.90,21.89,55139.24,0.13,610.43,333.45,6046.87,76.10,19.40
184,Laurus Labs,1018.45,80.43,54981.69,0.12,194.49,882.71,1653.47,35.12,9.15
185,Mphasis,2863.80,30.63,54560.99,1.97,469.07,10.80,3901.91,10.34,22.71
186,I R C T C,668.55,39.95,53484.00,1.18,341.86,9.69,1145.99,7.71,49.03
